"기관명","소계","방범용","도시공원, 놀이터","어린이 보호","쓰레기 무단투기","기타"
"강남구","3238","2076","261","443","0","458"
"강동구","1010","537","84","125","27","237"
"강북구","831","469","86","108","85","83"
"강서구","911","623","51","182","28","27"
"관악구","2109","1083","161","195","57","613"
"광진구","878","376","51","208","72","171"
"구로구","1884","823","294","415","29","323"
"금천구","1348","676","119","188","32","333"
"노원구","1566","753","192","205","115","301"
"도봉구","825","260","89","89","47","340"
"동대문구","1870","948","71","247","28","576"
"동작구","1302","693","88","291","19","211"
"마포구","980","387","86","101","0","406"
"서대문구","1254","603","230","129","0","292"
"서초구","2297","1552","62","316","0","367"
"성동구","1327","663","56","305","38","265"
"성북구","1651","974","72","320","98","187"
"송파구","1081","331","139","129","19","463"
"양천구","2482","1216","77","722","19","448"
"영등포구","1277","653","91","122","38","373"
"용산구","2096","1336","113","168","7","472"
"은평구","2108","1147","196","527","3","235"
"종로구","1619","891","73","38","0","617"
"중구","1023","495","96","20","60","352"
"중랑구","916","532","74","54","0","256"